"@id","ProcessInstance__@id","ProcessInstance__Data__Attribute__@name","ProcessInstance__Data__Attribute__#text","ProcessInstance__AuditTrailEntry__Data__Attribute__@name","ProcessInstance__AuditTrailEntry__Data__Attribute__#text","ProcessInstance__AuditTrailEntry__WorkflowModelElement","ProcessInstance__AuditTrailEntry__EventType","ProcessInstance__AuditTrailEntry__Timestamp","ProcessInstance__AuditTrailEntry__Originator"
"941597a7-bb6b-47dc-b8e8-011110aca4e7","30","LogType","MXML.EnactmentLog","elementId","startEvents_0b46494c-9510-a2b3-0c7c-9d405cda5d1c","Start","assign","2023-12-22T09:41:44.530+00:00",""
"","","","","processId","processes_7c3189ec-f406-7556-7434-0b38355d1c38","","","",""
"","","","","elementId","startEvents_0b46494c-9510-a2b3-0c7c-9d405cda5d1c","Start","start","2023-12-22T09:41:44.530+00:00",""
"","","","","processId","processes_7c3189ec-f406-7556-7434-0b38355d1c38","","","",""
"","","","","elementId","startEvents_0b46494c-9510-a2b3-0c7c-9d405cda5d1c","Start","complete","2023-12-22T09:41:44.530+00:00",""
"","","","","processId","processes_7c3189ec-f406-7556-7434-0b38355d1c38","","","",""
"","","","","elementId","tasks_258ad8b6-79c2-4f69-097c-b2f2c436d051","Define_Data_Object","assign","2023-12-22T09:41:44.530+00:00",""
"","","","","processId","processes_7c3189ec-f406-7556-7434-0b38355d1c38","","","",""
"","","","","elementId","tasks_258ad8b6-79c2-4f69-097c-b2f2c436d051","Define_Data_Object","start","2024-06-04T14:26:15.422+00:00","Default Resource-000001"
"","","","","processId","processes_7c3189ec-f406-7556-7434-0b38355d1c38","","","",""
"","","","","resourceId","QBP_DEFAULT_RESOURCE","","","",""
"","","","","elementId","tasks_258ad8b6-79c2-4f69-097c-b2f2c436d051","Define_Data_Object","complete","2024-06-11T10:28:19.391+00:00","Default Resource-000001"
"","","","","processId","processes_7c3189ec-f406-7556-7434-0b38355d1c38","","","",""
"","","","","resourceId","QBP_DEFAULT_RESOURCE","","","",""
"","","","","elementId","messageIntermediateThrowEvents_e646252e-6a83-3607-5dfe-fb4dfe3007fc","Request_Data_Object","assign","2024-06-11T10:28:19.391+00:00",""
"","","","","processId","processes_7c3189ec-f406-7556-7434-0b38355d1c38","","","",""
"","","","","elementId","messageIntermediateThrowEvents_e646252e-6a83-3607-5dfe-fb4dfe3007fc","Request_Data_Object","start","2024-06-11T10:28:19.391+00:00",""
"","","","","processId","processes_7c3189ec-f406-7556-7434-0b38355d1c38","","","",""
"","","","","elementId","messageIntermediateThrowEvents_e646252e-6a83-3607-5dfe-fb4dfe3007fc","Request_Data_Object","complete","2024-06-11T10:28:19.391+00:00",""
"","","","","processId","processes_7c3189ec-f406-7556-7434-0b38355d1c38","","","",""
"","","","","elementId","messageStartEvents_f335505b-e7c7-4411-d35f-907243f2be6a","Start_Event","assign","2024-06-11T10:28:19.391+00:00",""
"","","","","processId","processes_b91e1147-efc9-2077-2fac-438d08f1e3e4","","","",""
"","","","","elementId","messageStartEvents_f335505b-e7c7-4411-d35f-907243f2be6a","Start_Event","start","2024-06-11T10:28:19.391+00:00",""
"","","","","processId","processes_b91e1147-efc9-2077-2fac-438d08f1e3e4","","","",""
"","","","","elementId","messageIntermediateCatchEvents_0602f375-9267-7f42-0cff-9553b54a2fa1","data_object_revised","assign","2024-06-11T10:28:19.391+00:00",""
"","","","","processId","processes_7c3189ec-f406-7556-7434-0b38355d1c38","","","",""
"","","","","elementId","messageIntermediateCatchEvents_f7007e05-95b5-178b-f416-adb2084f37a4","data_object_declined","assign","2024-06-11T10:28:19.391+00:00",""
